,Name,Sex,Event,Age,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,AgeClass,Federation,Date,MeetCountry,MeetState,MeetName,Region,Political
257,Caitlin Cardone,F,SBD,25.0,129.27,65.77,142.88,24-34,365Strong,2016,USA,SC,Eastern USA Challenge,South,Red
258,Tina Bush,F,SBD,49.0,88.45,49.9,127.01,45-49,365Strong,2016,USA,SC,Eastern USA Challenge,South,Red
259,Jessica Wissman,F,SBD,24.0,124.74,63.5,117.93,24-34,365Strong,2016,USA,SC,Eastern USA Challenge,South,Red
260,Shayna Dence,F,SBD,33.0,124.74,61.23,129.27,24-34,365Strong,2016,USA,SC,Eastern USA Challenge,South,Red
263,Tricia Emrich,F,SBD,43.0,106.59,61.23,124.74,40-44,365Strong,2016,USA,SC,Eastern USA Challenge,South,Red
4498,Maria Yin,F,SBD,52.0,67.5,37.5,85.0,50-54,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4499,Tabitha Carbonel,F,SBD,34.0,95.0,37.5,115.0,24-34,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4500,Brooke Thayer,F,SBD,13.0,75.0,27.5,92.5,13-15,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4501,Huong Nguyen,F,SBD,35.0,75.0,35.0,87.5,35-39,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4503,Jennifer Thayer,F,SBD,42.0,80.0,37.5,120.0,40-44,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4504,Mary Vargas,F,SBD,35.0,105.0,45.0,125.0,35-39,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4506,Theresa Lesui,F,SBD,41.0,40.0,32.5,75.0,40-44,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4507,Lisa Voss,F,SBD,50.0,75.0,62.5,140.0,50-54,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4508,Maria Maldonado,F,SBD,23.0,112.5,42.5,137.5,20-23,AAU,2016,USA,CA,Kindred NorCal Powerlifting Championships,West,Blue
4527,Celleste Lindsay,F,SBD,7.0,20.0,15.5,42.5,5-12,AAU,2016,USA,NV,Worlds,West,Periwinkle
4528,Damiyah Smith,F,SBD,10.0,60.0,30.0,75.0,5-12,AAU,2016,USA,NV,Worlds,West,Periwinkle
4529,Emma Nylund,F,SBD,12.0,67.5,27.5,76.5,5-12,AAU,2016,USA,NV,Worlds,West,Periwinkle
4530,Sascha Goldsmith,F,SBD,12.0,80.0,35.0,82.5,5-12,AAU,2016,USA,NV,Worlds,West,Periwinkle
4531,Carissa Lindsay,F,SBD,10.0,32.5,17.5,52.5,5-12,AAU,2016,USA,NV,Worlds,West,Periwinkle
4532,Sandra Tran,F,SBD,21.0,77.5,40.0,97.5,20-23,AAU,2016,USA,NV,Worlds,West,Periwinkle
4533,Bailey Kuhlmann,F,SBD,18.0,85.0,58.5,120.0,18-19,AAU,2016,USA,NV,Worlds,West,Periwinkle
4534,Rocky Luedeker,F,SBD,61.0,37.5,32.5,57.5,60-64,AAU,2016,USA,NV,Worlds,West,Periwinkle
4536,Robin Roth,F,SBD,46.0,32.5,30.0,82.5,45-49,AAU,2016,USA,NV,Worlds,West,Periwinkle
4537,Delores Sutcliffe,F,SBD,54.0,65.0,37.5,82.5,50-54,AAU,2016,USA,NV,Worlds,West,Periwinkle
4539,Chisato Dubose,F,SBD,52.0,80.0,40.0,110.0,50-54,AAU,2016,USA,NV,Worlds,West,Periwinkle
4540,Asuba Alley-Barnes,F,SBD,28.0,103.5,67.5,130.0,24-34,AAU,2016,USA,NV,Worlds,West,Periwinkle
4541,Elsie Magwire,F,SBD,16.0,135.0,66.5,157.5,16-17,AAU,2016,USA,NV,Worlds,West,Periwinkle
4542,Jesse Allen-Gribaldi,F,SBD,28.0,77.5,45.0,107.5,24-34,AAU,2016,USA,NV,Worlds,West,Periwinkle
4543,Sachie DuBose,F,SBD,16.0,147.5,67.5,177.5,16-17,AAU,2016,USA,NV,Worlds,West,Periwinkle
4544,Gloria Moses,F,SBD,26.5,145.0,80.0,165.0,24-34,AAU,2016,USA,NV,Worlds,West,Periwinkle
4545,Yvonne Van Sliphout,F,SBD,29.0,100.0,55.0,145.0,24-34,AAU,2016,USA,NV,Worlds,West,Periwinkle
4546,Chandler Marrs,F,SBD,49.0,65.0,57.5,130.0,45-49,AAU,2016,USA,NV,Worlds,West,Periwinkle
4547,Pamela Sherwell,F,SBD,45.0,125.0,87.5,137.5,45-49,AAU,2016,USA,NV,Worlds,West,Periwinkle
11399,Judith Willis,F,SBD,30.5,80.0,42.5,115.0,24-34,APA,2016,USA,OR,Winter Classic,West,Blue
11400,Jessica Gale,F,SBD,,82.5,70.0,110.0,,APA,2016,USA,OR,Winter Classic,West,Blue
11401,Genyssa McCauley,F,SBD,22.5,95.0,62.5,107.5,20-23,APA,2016,USA,OR,Winter Classic,West,Blue
11402,Persida Mayyer,F,SBD,19.5,120.0,70.0,142.5,,APA,2016,USA,OR,Winter Classic,West,Blue
11403,Jennifer Hathaway,F,SBD,,82.5,47.5,120.0,,APA,2016,USA,OR,Winter Classic,West,Blue
11404,Marya Tracer,F,SBD,22.5,115.0,72.5,160.0,20-23,APA,2016,USA,OR,Winter Classic,West,Blue
11405,Amanda Lucier,F,SBD,35.5,82.5,45.0,112.5,35-39,APA,2016,USA,OR,Winter Classic,West,Blue
11406,Gretchen Vietmeier,F,SBD,24.5,122.5,62.5,137.5,24-34,APA,2016,USA,OR,Winter Classic,West,Blue
11407,Shawna Salmonson,F,SBD,24.5,115.0,77.5,162.5,24-34,APA,2016,USA,OR,Winter Classic,West,Blue
11408,Cindy Shockman,F,SBD,48.5,140.0,112.5,182.5,45-49,APA,2016,USA,OR,Winter Classic,West,Blue
11409,Kennedy Courtney,F,SBD,,110.0,75.0,142.5,,APA,2016,USA,OR,Winter Classic,West,Blue
11410,Zorahgail Balino,F,SBD,34.0,137.5,80.0,165.0,24-34,APA,2016,USA,OR,Winter Classic,West,Blue
11412,Charlie Ritchie,F,SBD,44.0,102.5,75.0,137.5,40-44,APA,2016,USA,OR,Winter Classic,West,Blue
11413,Amy Vandenburgh,F,SBD,,127.5,60.0,150.0,,APA,2016,USA,OR,Winter Classic,West,Blue
11414,Kirsten Shockman,F,SBD,22.5,160.0,75.0,172.5,20-23,APA,2016,USA,OR,Winter Classic,West,Blue
11415,Elaine May,F,SBD,54.5,82.5,57.5,125.0,,APA,2016,USA,OR,Winter Classic,West,Blue
11416,Sheri Mura,F,SBD,50.5,115.0,55.0,137.5,50-54,APA,2016,USA,OR,Winter Classic,West,Blue
11446,Michele Sosnine,F,SBD,,100.0,57.5,87.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11447,Shayna Waldman,F,SBD,,82.5,57.5,100.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11448,Elizabeth West,F,SBD,,112.5,55.0,117.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11449,Amy Osborn,F,SBD,28.5,97.5,52.5,92.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11450,Jessica Wilkins,F,SBD,28.5,97.5,47.5,127.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11451,Elizabeth West,F,SBD,,112.5,55.0,112.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11452,Kaylie Klitzing,F,SBD,23.5,120.0,82.5,142.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11453,Grace Mammarella,F,SBD,,75.0,47.5,82.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11454,Chelyncia Schoonmaker,F,SBD,,85.0,57.5,90.0,45-49,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11455,Jessica Gale,F,SBD,,87.5,67.5,,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11456,Anna-Lisa Robbins,F,SBD,29.5,92.5,40.0,107.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11457,Amber Wilson,F,SBD,30.5,90.0,52.5,112.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11458,Sara Devlin,F,SBD,29.0,125.0,62.5,162.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11459,Nicole Hughson,F,SBD,,75.0,40.0,120.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11460,Christy Scott,F,SBD,35.5,87.5,45.0,117.5,35-39,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11461,Johnna Erickson,F,SBD,,127.5,57.5,130.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11462,Tanya Neilsen,F,SBD,39.5,85.0,42.5,122.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11463,Susan Price,F,SBD,,110.0,75.0,150.0,50-54,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11464,Darleen Tippie,F,SBD,23.5,97.5,67.5,125.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11465,Aileen Fajardo,F,SBD,,117.5,52.5,137.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11466,Marya Tracer,F,SBD,22.5,117.5,75.0,160.0,20-23,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11467,Lea Natera,F,SBD,25.5,137.5,82.5,172.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11468,Megan Keele,F,SBD,,75.0,52.5,82.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11469,Mara Bowman,F,SBD,37.5,90.0,55.0,107.5,35-39,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11470,Jennifer Rudakova,F,SBD,,102.5,62.5,115.0,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11471,Krista Lawver,F,SBD,29.5,102.5,47.5,127.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11472,Nicole Butz,F,SBD,25.5,110.0,52.5,155.0,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11473,Erin Murray,F,SBD,22.5,152.5,102.5,187.5,20-23,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11474,Kyrianna Sorensen,F,SBD,,137.5,80.0,172.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11475,Leah Davis,F,SBD,,175.0,82.5,177.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11476,Raegan Leong,F,SBD,20.5,130.0,60.0,130.0,20-23,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11477,Alexis Goldstein,F,SBD,,137.5,82.5,172.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11478,Elaine May,F,SBD,54.5,95.0,57.5,142.5,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11479,Becky Hambright,F,SBD,,90.0,62.5,145.0,65-69,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11480,Erin Stanton,F,SBD,27.0,235.0,107.5,227.5,24-34,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11481,Marie Balgamwalla,F,SBD,38.5,102.5,52.5,65.0,35-39,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11482,Joselyn Terry,F,SBD,18.5,105.0,50.0,120.0,18-19,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11483,Stephanie Steeves,F,SBD,,,,,,APA,2016,USA,OR,Elite Spring Challenge District 7 Regionals,West,Blue
11622,Gina Yocco,F,SBD,27.0,,,,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11623,Tiana Morris,F,SBD,27.0,117.5,55.0,122.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11624,Amy Osborn,F,SBD,28.0,97.5,47.5,100.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11625,Jessica Wilkins,F,SBD,30.0,95.0,50.0,130.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11626,Jesica Gale,F,SBD,32.0,87.5,75.0,122.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11627,Genyssa McCauley,F,SBD,23.0,107.5,62.5,122.5,20-23,WPA,2016,USA,OR,World Championships,West,Blue
11628,Bree Purvis,F,SBD,16.0,60.0,40.0,85.0,16-17,WPA,2016,USA,OR,World Championships,West,Blue
11629,Samantha Shew,F,SBD,30.0,90.0,57.5,120.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11630,Sara Devlin,F,SBD,30.0,125.0,65.0,160.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11632,Katie Bergmann,F,SBD,23.0,80.0,57.5,97.5,20-23,WPA,2016,USA,OR,World Championships,West,Blue
11633,Christy Scott,F,SBD,36.0,95.0,47.5,122.5,35-39,WPA,2016,USA,OR,World Championships,West,Blue
11634,Jenny Kuhn,F,SBD,48.0,105.0,62.5,132.5,45-49,WPA,2016,USA,OR,World Championships,West,Blue
11635,Anna-Lisa Robbins,F,SBD,30.0,105.0,45.0,122.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11636,Darleen Tippie,F,SBD,24.0,105.0,72.5,137.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11637,Gretchen Vietmeier,F,SBD,25.0,125.0,67.5,135.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11638,Marya Tracer,F,SBD,23.0,117.5,67.5,160.0,20-23,WPA,2016,USA,OR,World Championships,West,Blue
11639,Amber Yarnell,F,SBD,29.0,150.0,70.0,165.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11640,Shawna Salmonson,F,SBD,25.0,137.5,87.5,182.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11641,Lea Anne Natera,F,SBD,25.0,152.5,80.0,185.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11642,Amanda Lucier,F,SBD,36.0,82.5,47.5,112.5,35-39,WPA,2016,USA,OR,World Championships,West,Blue
11643,Linda Graybeal,F,SBD,73.0,52.5,36.0,80.0,70-74,WPA,2016,USA,OR,World Championships,West,Blue
11645,Nicole Butz,F,SBD,26.0,102.5,55.0,145.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11646,Wendy Schwandt,F,SBD,34.0,95.0,75.0,142.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11647,Darci Molina,F,SBD,24.0,160.0,87.5,155.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11648,Krista Lawver,F,SBD,30.0,110.0,55.0,137.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11650,Zorahgail Balino,F,SBD,35.0,182.5,77.5,167.5,35-39,WPA,2016,USA,OR,World Championships,West,Blue
11651,Stacy Terry,F,SBD,42.0,80.0,35.0,85.0,40-44,WPA,2016,USA,OR,World Championships,West,Blue
11652,Carol Moorhead,F,SBD,54.0,97.5,42.5,102.5,50-54,WPA,2016,USA,OR,World Championships,West,Blue
11653,Alexis Goldstein,F,SBD,35.0,152.5,85.0,190.0,35-39,WPA,2016,USA,OR,World Championships,West,Blue
11654,Lillian Danzer,F,SBD,38.0,160.0,97.5,192.5,35-39,WPA,2016,USA,OR,World Championships,West,Blue
11658,Marcia Homer,F,SBD,50.0,102.5,52.5,127.5,50-54,WPA,2016,USA,OR,World Championships,West,Blue
11659,Nancy Lowther,F,SBD,58.0,,,,55-59,WPA,2016,USA,OR,World Championships,West,Blue
11660,Kayleigh Chase,F,SBD,26.0,142.5,42.5,175.0,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11661,Marie Balgamwalla,F,SBD,39.0,102.5,55.0,105.0,35-39,WPA,2016,USA,OR,World Championships,West,Blue
11662,Karla Brody,F,SBD,34.0,120.0,60.0,137.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11663,Joselyn Terry,F,SBD,19.0,127.5,40.0,137.5,18-19,WPA,2016,USA,OR,World Championships,West,Blue
11665,Rebecca Jones,F,SBD,63.0,85.0,42.5,117.5,60-64,WPA,2016,USA,OR,World Championships,West,Blue
11666,Emily Wright,F,SBD,30.0,160.0,85.0,167.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11667,Elaine May,F,SBD,55.0,103.5,63.5,145.0,55-59,WPA,2016,USA,OR,World Championships,West,Blue
11668,Nancy Rainey,F,SBD,49.0,125.0,67.5,152.5,45-49,WPA,2016,USA,OR,World Championships,West,Blue
11669,Kaitlynn Naert,F,SBD,14.0,102.5,47.5,142.5,13-15,WPA,2016,USA,OR,World Championships,West,Blue
11670,Shellie Corona,F,SBD,33.0,102.5,60.0,132.5,24-34,WPA,2016,USA,OR,World Championships,West,Blue
11671,Amy Lee,F,SBD,43.0,112.5,67.5,155.0,40-44,WPA,2016,USA,OR,World Championships,West,Blue
11673,Sheri Mura,F,SBD,51.0,132.5,62.5,147.5,50-54,WPA,2016,USA,OR,World Championships,West,Blue
11760,Nancy Lowther,F,SBD,57.0,106.59,65.77,117.93,55-59,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11762,Nancy Rainey,F,SBD,48.0,115.67,65.77,156.49,45-49,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11763,Beverly Mann,F,SBD,51.0,83.91,43.09,106.59,50-54,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11764,Carol Moorhead,F,SBD,53.0,83.91,38.56,99.79,50-54,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11765,Amy Lee,F,SBD,42.0,115.67,65.77,147.42,40-44,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11766,Lillie Danzer,F,SBD,38.0,147.42,83.91,183.7,35-39,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11767,Allison James,F,SBD,35.0,104.33,65.77,127.01,35-39,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11768,Robyn Messerly,F,SBD,29.0,86.18,43.09,113.4,24-34,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11769,Grace Bramman,F,SBD,26.0,104.33,58.97,115.67,24-34,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11771,Erica Norton,F,SBD,25.0,108.86,52.16,156.49,24-34,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11772,Jennifer Pautz,F,SBD,27.0,108.86,56.7,117.93,24-34,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11773,Catherine Domer,F,SBD,32.0,68.04,45.36,95.25,24-34,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11776,Emily Wright,F,SBD,29.0,138.35,77.11,149.69,24-34,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11777,Mary Tobin,F,SBD,30.0,90.72,88.45,156.49,24-34,APA,2016,USA,MO,District 5 Regionals,Midwest,Red
11886,Rebecca Jones,F,SBD,63.0,54.43,43.09,108.86,60-64,APA,2016,USA,MO,Midwest Raw Winter Iron Bash,Midwest,Red
11887,Alyssa Wilson,F,SBD,26.0,70.31,47.63,136.08,24-34,APA,2016,USA,MO,Midwest Raw Winter Iron Bash,Midwest,Red
11888,Meaghan Haskell,F,SBD,27.0,86.18,38.56,102.06,24-34,APA,2016,USA,MO,Midwest Raw Winter Iron Bash,Midwest,Red
11910,Ciara Harmon,F,SBD,14.5,136.08,58.97,131.54,13-15,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11911,Charla Clarke,F,SBD,,90.72,74.84,90.72,,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11912,Lou Alex,F,SBD,40.5,122.47,95.25,158.76,40-44,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11913,Amanda Reed,F,SBD,37.5,170.1,74.84,181.44,35-39,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11914,Reva Coate,F,SBD,27.5,70.31,43.09,106.59,24-34,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11915,Amanda Pate,F,SBD,30.0,113.4,61.23,138.35,24-34,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11916,Amanda Belk,F,SBD,30.5,113.4,56.7,147.42,24-34,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11918,Summer Lewis,F,SBD,24.5,138.35,70.31,142.88,24-34,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11919,Carlena Clemmons,F,SBD,,124.74,63.5,147.42,,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11920,Caitlin Bounds,F,SBD,18.5,,,,18-19,APA,2016,USA,MI,Central Mississippi Open,Midwest,Purple
11936,Alison Clemens,F,SBD,43.0,102.06,65.77,120.2,40-44,APA,2016,USA,MD,4th Annual World Gym Raw Powerlifting Championships,South,Blue
11942,Sarah Pollard,F,SBD,42.0,106.59,58.97,115.67,40-44,APA,2016,USA,IN,Midwest Raw Regional Power Showdown,Midwest,Pink
11943,Lalane Burhenn,F,SBD,43.0,106.59,52.16,115.67,40-44,APA,2016,USA,IN,Midwest Raw Regional Power Showdown,Midwest,Pink
11944,Kate Holliday,F,SBD,31.0,124.74,65.77,138.35,24-34,APA,2016,USA,IN,Midwest Raw Regional Power Showdown,Midwest,Pink
11991,Lalane Burhenn,F,SBD,43.0,111.13,54.43,115.67,40-44,APA,2016,USA,MI,Michigan Open Championships,Midwest,Purple
11992,Gina Fuga,F,SBD,22.0,90.72,49.9,124.74,20-23,APA,2016,USA,MI,Michigan Open Championships,Midwest,Purple
11993,Blair Tiseo,F,SBD,19.0,90.72,47.63,88.45,18-19,APA,2016,USA,MI,Michigan Open Championships,Midwest,Purple
11994,Bree Purvis,F,SBD,15.0,47.63,38.56,81.65,13-15,APA,2016,USA,MI,Michigan Open Championships,Midwest,Purple
11996,April Simon,F,SBD,38.0,127.01,83.91,154.22,35-39,APA,2016,USA,MI,Michigan Open Championships,Midwest,Purple
11998,Darci Molina,F,SBD,24.0,151.95,86.18,161.03,24-34,APA,2016,USA,MI,Michigan Open Championships,Midwest,Purple
